id,name,機構統一編號,資料來源系統代號,資料來源系統,原機構代碼,主類別,次類別,address,許可狀態
AAA00001268,臺北市學生輔導諮商中心,3718702,C01,無來源系統,,T01,T0101,臺北市中山區吉林路110號3樓,C04
AAA00001330,臺北市政府原住民族事務委員會,97977743,C01,無來源系統,,T01,T0101,臺北市信義區市府路1號,C04
AAB00347354,臺北市家庭暴力暨性侵害防治中心,48947899,C01,無來源系統,,T01,T0102,臺北市中正區臺北市中正區延平南路123號,C04
AAC00005910,中正社會福利服務中心,3726800,C01,無來源系統,,T01,T0103,臺北市中正區延平南路207號6樓,C04
AAC00005929,萬華社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市萬華區梧州街36號5樓 ,C04
AAC00005938,中山社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市中山區合江街137號3樓,C04
AAC00005947,大同社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市大同區昌吉街57號6樓 ,C04
AAC00005956,士林社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市士林區基河路140號1樓,C04
AAC00005965,北投社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市北投區新市街30號5樓 ,C04
AAC00005974,大安社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市大安區四維路198巷30弄5號2樓之9 ,C04
AAC00005983,文山社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市文山區興隆路二段160號6樓 ,C04
AAC00005992,信義社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市信義區松隆路36號5樓 ,C04
AAC00006009,南港社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市南港區市民大道8段367號3樓,C04
AAC00006018,松山社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市松山區民生東路五段163-1號9樓 ,C04
AAC00006027,內湖社會福利服務中心,,C01,無來源系統,,T01,T0103,臺北市內湖區星雲街161巷3號4樓 ,C04
AAD00000031,臺北市政府社會局委託財團法人天主教失智老人社會福利基金會經營管理臺北市萬華老人服務中心,73990893,C01,無來源系統,,T01,T0104,臺北市萬華區西寧南路4號A棟3樓,C04
AAD00000077,財團法人台灣省私立健順養護中心受託經營管理臺北市松山老人服務暨日間照顧中心,76768312,C01,無來源系統,,T01,T0104,臺北市松山區健康路317號1、2樓,C04
AAD00000130,財團法人全成社會福利基金會經營管理臺北市大安老人服務暨日間照顧中心,26322293,C01,無來源系統,,T01,T0104,臺北市大安區四維路76巷12號,C04
AAD00000220,社團法人中華民國士林靈糧堂社會福利協會受託經營管理北投老人服務中心,42532079,C01,無來源系統,,T01,T0104,臺北市北投區三合街一段119號6樓,C04
AAD00000464,中華民國紅心字會受託經營管理臺北市信義老人服務暨日間照顧中心,2276242,C01,無來源系統,,T01,T0104,臺北市信義區松隆路36號4樓,C04
AAD00000473,臺北市內湖老人服務中心,48822238,C01,無來源系統,,T01,T0104,臺北市內湖區康樂街110巷16弄20號5樓,C04
AAD00000581,臺北市政府社會局委託社團法人中華民國士林靈糧堂社會福利協會經營管理臺北市士林老人服務暨日間照顧中心,42532079,C01,無來源系統,,T01,T0104,臺北市士林區忠誠路二段53巷7號五樓,C04
AAD00000833,財團法人台灣省私立健順養護中心受託經營管理臺北市南港老人服務暨日間照顧中心,76768312,C01,無來源系統,,T01,T0104,臺北市南港區重陽路187巷5號1、2樓,C04
AAD00000842,財團法人台北市立心慈善基金會經營臺北市萬華龍山老人服務暨日間照顧中心,976178,C01,無來源系統,,T01,T0104,臺北市萬華區梧州街36號3樓,C04
AAD00000860,臺北市文山老人服務中心,1000909,C01,無來源系統,,T01,T0104,臺北市文山區萬壽路27號6樓,C04
AAD00001580,財團法人恆安社會福利慈善事業基金會受託經營管理臺北市文山老人服務中心,1000909,C01,無來源系統,,T01,T0104,臺北市文山區萬壽路27號6樓,C04
AAD00002453,中華民國紅十字會台灣省分會,3702883,C01,無來源系統,,T01,T0104,臺北市中正區貴陽街一段60號,C04
AAE00005567,臺北市中正區社區心理衛生中心,3776408,C01,無來源系統,,T01,T0105,臺北市中正區金山南路1段5號,C04
AAE00005576,臺北市萬華區社區心理衛生中心,3776408,C01,無來源系統,,T01,T0105,臺北市萬華區東園街152號B棟,C04
AAE00005585,臺北市文山區社區心理衛生中心,3776408,C01,無來源系統,,T01,T0105,臺北市文山區木柵路三段220號3樓,C04
AAF00005340,臺北市政府毒品危害防制中心,99958172,C01,無來源系統,A11300048,T01,T0106,臺北市萬華區昆明街100號4樓,C04
AAZ00000435,內政部移民署,4122429,C01,無來源系統,,T01,T0199,臺北市中正區廣州街15號,C04
AAZ00000688,臺北市少年輔導委員會,4152485,C01,無來源系統,,T01,T0199,臺北市信義區信義路5段180號,C04
